"Waterbody","Month","Day of Week","Mean Fishing Effort","SE for Mean Fishing Effort","Total Fishing Effort","SE for Total Fishing Effort","Mean HarvestORCatch","SE for Mean HarvestORCatch","Total HarvestORCatch","SE for Total HarvestORCatch","Mean Number of Angler Trips","SE for Mean Number of Angler Trips","Total Number of Angler Trips","SE for Total Number of Angler Trips","Mean HarvestORCatch Per Unit Effort"
"Moon Lake",5,"wd",2.5,1.00895610620206,55,22.1970343364453,1.66666666666667,0.8942389499811,36.6666666666667,19.6732568995842,1.66666666666667,0.8942389499811,36.6666666666667,19.6732568995842,1.33333333333333
"Moon Lake",5,"we",67.5,28.2658510102444,607.5,254.392659092199,2.95608108108108,1.55589467769667,26.6047297297297,14.00305209927,11.9366145725879,4.84547649461009,107.429531153291,43.6092884514908,0.0426057688210984
"Moon Lake",6,"wd",112,9.26457547189638,2128,176.026933966031,32.8278044118946,9.70425293588467,623.728283825998,184.380805781809,20.0084961494294,2.82781998877149,380.161426839159,53.7285797866584,0.308371796912303
"Moon Lake",6,"we",130.666666666667,26.4748657884893,1306.66666666667,264.748657884892,72.5747479902307,21.7102360471971,725.747479902307,217.102360471971,23.8832120127713,5.68167775813185,238.832120127713,56.8167775813185,0.433902718614228
"Moon Lake",7,"wd",51.25,8.64124138255488,973.75,164.183586268543,3.97553897180763,1.69587160383511,75.5352404643449,32.2215604728671,7.77715588723051,2.36485506653573,147.76596185738,44.9322462641789,0.0740541268345227
"Moon Lake",7,"we",43.75,16.0857079421454,437.5,160.857079421454,4.9061433447099,2.96809590751717,49.061433447099,29.6809590751717,8.1769055745165,5.01847196019695,81.769055745165,50.1847196019695,0.170648464163823
"Moon Lake",8,"wd",28,8.95803420464525,644,206.034786706841,2.20861172976986,1.2484428771526,50.7980697847067,28.7141861745097,10.8165633935331,1.64620364336484,248.780958051262,37.8626837973912,0.066577896138482
"Moon Lake",8,"we",84,16.4974394758477,672,131.979515806782,11.0460487405354,1.8903101887811,88.3683899242834,15.1224815102488,19.3715867811059,4.58059352835855,154.972694248847,36.6447482268684,0.226358701624069
"Moon Lake",9,"wd",5.41666666666667,2.00887407488198,102.916666666667,38.1686074227577,3.03333333333333,1.60709925990559,57.6333333333333,30.5348859382061,0.433333333333333,0.229585608557941,8.23333333333333,4.36212656260088,2.8
"Moon Lake",9,"we",52,13.3455751882179,572,146.801327070397,1.19345685194458,0.636311984723316,13.1280253713904,6.99943183195647,2.38691370388917,1.26053727061156,26.2560507427808,13.8659099767271,0.100150225338007
"Moon Lake",10,"wd",0,0,0,0,0,0,0,0,0,0,0,0,NA
"Moon Lake",10,"we",1.83333333333333,1.4969103983675,16.5,13.4721935853075,0,0,0,0,1.3681592039801,0.644956433918078,12.3134328358209,5.8046079052627,0
"Moon Lake",11,"wd",0,0,0,0,0,0,0,0,0,0,0,0,NA
"Moon Lake",11,"we",2.5,1.98955606438555,25,19.8955606438555,0,0,0,0,0,0,0,0,NA
