"method","gear","count","percent"
"b","b",39,5.59540889526542
"b","b/j",1,0.143472022955524
"b","b/l",11,1.57819225251076
"b","f",1,0.143472022955524
"b","j",14,2.00860832137733
"b","l",4,0.573888091822095
"b","l/j",4,0.573888091822095
"b","l/s",1,0.143472022955524
"b","t",87,12.4820659971306
"b","t/b",28,4.01721664275466
"b","t/j",4,0.573888091822095
"b","t/l",7,1.00430416068867
"b","tl",1,0.143472022955524
"p","b",2,0.286944045911047
"p","b/l",1,0.143472022955524
"p","f",1,0.143472022955524
"p","l/j/f",1,0.143472022955524
"p","l/s",1,0.143472022955524
"p","t/b",1,0.143472022955524
"s","b",371,53.2281205164993
"s","b/f",8,1.14777618364419
"s","b/j",3,0.430416068866571
"s","b/l",63,9.03873744619799
"s","bl",2,0.286944045911047
"s","j",5,0.717360114777618
"s","l",14,2.00860832137733
"s","l/j",7,1.00430416068867
"s","l/s",1,0.143472022955524
"s","spear",1,0.143472022955524
"s","t",1,0.143472022955524
"s","t/l",1,0.143472022955524
"s","t/s",1,0.143472022955524
"t","b",3,0.430416068866571
"t","b/l",1,0.143472022955524
"t","f",4,0.573888091822095
"t","j",1,0.143472022955524
"t","l/j",1,0.143472022955524
