"Waterbody","Species","Month","Mean Fishing Effort","SE for Mean Fishing Effort","Total Fishing Effort","SE for Total Fishing Effort","Mean HarvestORCatch","SE for Mean HarvestORCatch","Total HarvestORCatch","SE for Total HarvestORCatch","Mean Number of Angler Trips","SE for Mean Number of Angler Trips","Total Number of Angler Trips","SE for Total Number of Angler Trips","Mean HarvestORCatch Per Unit Effort"
"East Canyon Res","rbt",4,56.3694444444444,7.33393305628529,3382.16666666667,440.035983377117,10.5720749857137,3.31417113964546,634.324499142822,198.850268378728,8.52274205988385,1.5291244266767,511.364523593031,91.7474656006017,0.15501010399724
"East Canyon Res","rbt",5,158.104838709677,18.1177211872733,9802.5,1123.29871361094,39.5021048876466,4.53659097868743,2449.13050303409,281.268640678621,25.085450379374,2.98871799505235,1555.29792352119,185.300515693246,0.216302063678773
"East Canyon Res","rbt",6,182.944444444444,8.51050473495088,10976.6666666667,510.630284097053,9.29506491649358,0.894473474744901,557.703894989615,53.668408484694,31.1841160002409,1.98078185706137,1871.04696001445,118.846911423682,0.0511483234573451
"East Canyon Res","rbt",7,136.774731182796,8.51032759812656,8480.03333333333,527.640311083847,13.2733635652128,2.06593626616246,822.948541043194,128.088048502073,23.3665226332259,1.58518380395721,1448.72440326001,98.2813958453468,0.0970018609943691
"East Canyon Res","rbt",8,104.623655913978,7.63379858568816,6486.66666666667,473.295512312666,17.13153154805,3.41813829908486,1062.1549559791,211.924574543261,16.120882183203,0.876775416165399,999.494695358586,54.3600758022548,0.119571553951954
"East Canyon Res","rbt",9,78.0833333333333,6.31557268451036,4685,378.934361070621,7.48071152828841,0.71696972185505,448.842691697305,43.018183311303,15.2513360172477,1.27239296755285,915.08016103486,76.3435780531712,0.0808466008438789
"East Canyon Res","bnt",4,56.3694444444444,7.33393305628529,3382.16666666667,440.035983377117,0,0,0,0,8.52274205988385,1.5291244266767,511.364523593031,91.7474656006017,0
"East Canyon Res","bnt",5,158.104838709677,18.1177211872733,9802.5,1123.29871361094,0.198181194234729,0.114864472528619,12.2872340425532,7.12159729677439,25.085450379374,2.98871799505235,1555.29792352119,185.300515693246,0.0010670258335553
"East Canyon Res","bnt",6,182.944444444444,8.51050473495088,10976.6666666667,510.630284097053,0,0,0,0,31.1841160002409,1.98078185706137,1871.04696001445,118.846911423682,0
"East Canyon Res","bnt",7,136.774731182796,8.51032759812656,8480.03333333333,527.640311083847,0.127234490010515,0.0739600256168362,7.88853838065195,4.58552158824385,23.3665226332259,1.58518380395721,1448.72440326001,98.2813958453468,0.000820618033091297
"East Canyon Res","bnt",8,104.623655913978,7.63379858568816,6486.66666666667,473.295512312666,0,0,0,0,16.120882183203,0.876775416165399,999.494695358586,54.3600758022548,0
"East Canyon Res","bnt",9,78.0833333333333,6.31557268451036,4685,378.934361070621,0,0,0,0,15.2513360172477,1.27239296755285,915.08016103486,76.3435780531712,0
"East Canyon Res","smb",4,56.3694444444444,7.33393305628529,3382.16666666667,440.035983377117,0,0,0,0,8.52274205988385,1.5291244266767,511.364523593031,91.7474656006017,0
"East Canyon Res","smb",5,158.104838709677,18.1177211872733,9802.5,1123.29871361094,0,0,0,0,25.085450379374,2.98871799505235,1555.29792352119,185.300515693246,0
"East Canyon Res","smb",6,182.944444444444,8.51050473495088,10976.6666666667,510.630284097053,2.09502286790422,0.784690268490375,125.701372074253,47.0814161094225,31.1841160002409,1.98078185706137,1871.04696001445,118.846911423682,0.00896239084794632
"East Canyon Res","smb",7,136.774731182796,8.51032759812656,8480.03333333333,527.640311083847,2.19723207332861,0.325754727214354,136.228388546374,20.19679308729,23.3665226332259,1.58518380395721,1448.72440326001,98.2813958453468,0.0225533189427925
"East Canyon Res","smb",8,104.623655913978,7.63379858568816,6486.66666666667,473.295512312666,1.65171611253817,0.630503917676431,102.406398977367,39.0912428959387,16.120882183203,0.876775416165399,999.494695358586,54.3600758022548,0.0107699112722926
"East Canyon Res","smb",9,78.0833333333333,6.31557268451036,4685,378.934361070621,2.49811255101689,0.827416602465952,149.886753061013,49.6449961479571,15.2513360172477,1.27239296755285,915.08016103486,76.3435780531712,0.0189752908440277
